,feature_id,latitude,longitude,easting,northing,utm_epsg,SoVI,pop_d_c
375,375,51.00935145,-114.0800564,704831.6719,5654923.142,32611,Moderate,Moderate
376,376,51.01351051,-114.0832679,704588.1211,5655376.597,32611,Moderate,Low
377,377,51.01498994,-114.0868721,704328.8489,5655531.067,32611,Moderate,Low
378,378,51.01464277,-114.0929151,703906.59,5655475.726,32611,Moderate,Low
379,379,51.02170113,-114.0886803,704172.5483,5656272.164,32611,Moderate,Low
380,380,51.02237307,-114.0967426,703604.2913,5656324.548,32611,Moderate,Moderate
381,381,51.02188052,-114.1012978,703287.0448,5656257.206,32611,Low,Moderate
382,382,51.02553264,-114.0993439,703408.0583,5656668.624,32611,Moderate,Moderate
383,383,51.02830096,-114.1000517,703346.3141,5656974.437,32611,Moderate,Moderate
384,384,51.02925081,-114.0969416,703560.1918,5657088.628,32611,Moderate,Moderate
385,385,51.03178714,-114.1000843,703328.7629,5657361.922,32611,High,High
386,386,51.03170879,-114.096267,703596.7074,5657363.757,32611,High,High
387,387,51.03384776,-114.0989524,703399.0869,5657594.136,32611,High,Moderate
388,388,51.0346823,-114.0957465,703620.1575,5657695.776,32611,High,High
389,389,51.0366421,-114.0974808,703489.9987,5657908.862,32611,High,Moderate
390,390,51.03863808,-114.0931982,703781.4289,5658142.607,32611,High,High
391,391,51.03990291,-114.0931307,703780.608,5658283.411,32611,High,High
392,392,51.04083233,-114.0931084,703778.0877,5658386.801,32611,High,High
393,393,51.04181418,-114.0924077,703822.8883,5658497.897,32611,High,High
394,394,51.04102853,-114.0901239,703986.4069,5658416.877,32611,High,High
395,395,51.04022673,-114.0878335,704150.4642,5658334.085,32611,High,High
396,396,51.03904496,-114.090402,703975.632,5658195.583,32611,High,High
397,397,51.03846272,-114.0871269,704207.751,5658139.931,32611,High,High
398,398,51.03227866,-114.091678,703915.9073,5657439.81,32611,Moderate,Moderate
399,399,51.03694597,-114.083721,704453.1548,5657980.758,32611,Moderate,High
400,400,51.03873373,-114.0796677,704729.3891,5658190.772,32611,Moderate,High
401,401,51.03946833,-114.078027,704841.147,5658277.004,32611,Moderate,High
402,402,51.04081731,-114.077756,704854.1921,5658427.731,32611,High,High
403,403,51.04088729,-114.0753324,705023.7516,5658442.256,32611,Moderate,High
404,404,51.03939761,-114.0755614,705014.274,5658276.004,32611,Moderate,High
405,405,51.03979273,-114.0729213,705197.577,5658327.286,32611,High,High
406,406,51.03836826,-114.0742705,705109.3077,5658165.162,32611,Moderate,High
407,407,51.03879227,-114.0700068,705406.2809,5658224.186,32611,High,High
408,408,51.04019621,-114.0699579,705403.5001,5658380.405,32611,High,High
409,409,51.0397078,-114.066272,705664.0029,5658336.394,32611,High,High
410,410,51.04105674,-114.0670452,705603.8406,5658484.203,32611,High,High
411,411,51.04256295,-114.0654339,705710.0931,5658656.154,32611,High,High
412,412,51.03960452,-114.0611598,706022.7801,5658339.203,32611,Moderate,High
413,413,51.03250537,-114.0669164,705650.7377,5657533.872,32611,High,Moderate
414,414,51.03062918,-114.0669878,705654.0434,5657325.088,32611,High,High
415,415,51.0296334,-114.0654111,705768.9915,5657218.788,32611,Moderate,High
416,416,51.03048167,-114.0703055,705422.1102,5657299.43,32611,Moderate,High
417,417,51.02685385,-114.0684181,705570.4807,5656901.376,32611,Moderate,Low
418,418,51.02542179,-114.0735696,705215.6371,5656727.802,32611,Moderate,Moderate
419,419,51.02845065,-114.0784022,704863.4517,5657051.079,32611,Moderate,Low
420,420,51.02493287,-114.0821103,704618.9861,5656649.683,32611,Low,Low
421,421,51.02645471,-114.0872914,704249.0298,5656804.491,32611,Low,Low
422,422,51.02716263,-114.0924193,703886.4045,5656868.986,32611,Moderate,Low
423,423,51.02080185,-114.080627,704741.1939,5656194.543,32611,Low,Moderate
424,424,51.01977508,-114.0742257,705194.582,5656098.206,32611,Low,Moderate
425,425,51.03293272,-114.0701974,705418.8493,5657572.225,32611,Moderate,High
426,426,51.03526093,-114.0734593,705179.897,5657821.967,32611,Moderate,High
427,427,51.02587971,-114.0624197,705995.3488,5656809.838,32611,Low,Low
428,428,51.02603065,-114.0565552,706405.8508,5656843.039,32611,Moderate,Low
429,429,51.02058535,-114.0684984,705592.5993,5656204.259,32611,Moderate,Low
430,430,51.01904961,-114.0367711,707824.1583,5656122.567,32611,High,Low
431,431,51.03441587,-114.0463684,707082.6573,5657803.852,32611,High,Low
432,432,51.03763232,-114.0430694,707299.5528,5658170.719,32611,High,Moderate
433,433,51.03984887,-114.0401375,707495.1533,5658425.399,32611,High,Moderate
434,434,51.04468729,-114.0495391,706814.6339,5658936.853,32611,High,High
435,435,51.04618537,-114.0479962,706916.0858,5659107.735,32611,High,Moderate
436,436,51.0471772,-114.0556134,706377.8559,5659196.621,32611,High,Moderate
437,437,51.04554449,-114.0593765,706121.3913,5659004.564,32611,High,High
438,438,51.04961556,-114.0597049,706080.299,5659456.243,32611,High,Moderate
439,439,51.05311276,-114.0719859,705204.2417,5659810.737,32611,High,Moderate
440,440,51.04961317,-114.0719152,705224.6702,5659421.87,32611,High,Moderate
441,441,51.04764866,-114.0713944,705269.8514,5659204.918,32611,High,Low
442,442,51.04578465,-114.0684019,705487.8179,5659006.036,32611,High,Low
443,443,51.04290171,-114.0761921,704954.5969,5658663.814,32611,High,Moderate
444,444,51.04095174,-114.0803872,704669.1794,5658435.359,32611,High,High
445,445,51.04151173,-114.0827948,704497.963,5658490.926,32611,High,High
446,446,51.04015573,-114.0853708,704323.3869,5658333.022,32611,High,High
447,447,51.03894178,-114.0833607,704469.6216,5658203.642,32611,High,High
448,448,51.04303932,-114.085726,704285.8003,5658652.618,32611,High,High
449,449,51.04561669,-114.0825351,704498.084,5658948.013,32611,High,High
450,450,51.04661352,-114.082464,704498.6749,5659059.034,32611,High,High
451,451,51.04697497,-114.0799569,704672.7741,5659106.183,32611,High,Moderate
452,452,51.04934154,-114.0798124,704672.4662,5659369.688,32611,High,High
453,453,51.05086694,-114.0787938,704737.1173,5659542.105,32611,High,High
454,454,51.04563243,-114.0909396,703909.0102,5658926.454,32611,High,Moderate
455,455,51.04332226,-114.0969544,703497.6114,5658652.981,32611,High,Moderate
456,456,51.04296014,-114.1005382,703248.0238,5658602.824,32611,High,High
457,457,51.04059461,-114.0982277,703420.3248,5658346.218,32611,Moderate,Moderate
458,458,51.03985042,-114.0961192,703571.3716,5658269.309,32611,High,Moderate
459,459,51.04012979,-114.1025959,703116.1943,5658282.482,32611,High,Moderate
460,460,51.03617888,-114.1004313,703285.2095,5657849.214,32611,High,High
461,461,51.03603985,-114.10321,703091.0414,5657826.09,32611,Moderate,Moderate
462,462,51.03401257,-114.104962,702977.09,5657595.876,32611,High,Moderate
463,463,51.03640197,-114.1077281,702772.7547,5657853.897,32611,Moderate,Moderate
464,464,51.03247004,-114.1110672,702555.8455,5657407.577,32611,Moderate,Moderate
465,465,51.03396414,-114.115001,702273.5699,5657562.871,32611,Moderate,Moderate
466,466,51.03301611,-114.1315466,701117.8318,5657412.156,32611,Low,Moderate
467,467,51.03635877,-114.1329473,701005.1686,5657779.954,32611,Moderate,Moderate
468,468,51.03341433,-114.1376568,700687.7797,5657439.76,32611,Moderate,Moderate
469,469,51.03616038,-114.1386762,700604.4511,5657742.275,32611,Moderate,Moderate
470,470,51.03393986,-114.14326,700292.725,5657482.931,32611,Moderate,Moderate
471,471,51.03334714,-114.1488823,699901.1459,5657401.759,32611,Moderate,Low
472,472,51.03014391,-114.144972,700189.0725,5657056.26,32611,Moderate,Moderate
473,473,51.02881706,-114.1512612,699753.8728,5656891.669,32611,Moderate,Moderate
474,474,51.02640024,-114.1491222,699914.233,5656628.782,32611,High,Moderate
475,475,51.0269933,-114.1458085,700144.0082,5656703.715,32611,High,Moderate
476,476,51.02638858,-114.1425756,700373.276,5656645.275,32611,Moderate,Moderate
477,477,51.02555219,-114.1386792,700650.0722,5656562.897,32611,Moderate,Moderate
478,478,51.02310866,-114.1454704,700184.4499,5656272.757,32611,Moderate,Moderate
479,479,51.01365946,-114.1457122,700208.2153,5655221.581,32611,Moderate,Moderate
480,480,51.01086712,-114.1462776,700180.5927,5654909.606,32611,Moderate,Moderate
481,481,51.0104467,-114.1472826,700111.912,5654860.134,32611,Moderate,Moderate
482,482,51.01067601,-114.1562067,699485.034,5654861.424,32611,Moderate,Moderate
483,483,51.01501368,-114.1544784,699587.618,5655348.348,32611,Low,Moderate
484,484,51.01421427,-114.1588336,699285.6148,5655247.682,32611,Moderate,Moderate
485,485,51.01761615,-114.1562952,699449.0308,5655632.758,32611,Moderate,Moderate
486,486,51.02084341,-114.1583578,699290.5498,5655985.969,32611,Moderate,Moderate
487,487,51.02041278,-114.1541992,699583.9999,5655949.352,32611,Moderate,Moderate
488,488,51.02171883,-114.1505287,699835.7634,5656104.506,32611,Moderate,Moderate
489,489,51.01538824,-114.1511373,699820.3154,5655399.049,32611,Moderate,Moderate
490,490,51.01767631,-114.1474365,700069.9884,5655663.471,32611,Moderate,Low
491,491,51.02445548,-114.1572298,699354.1438,5656390.595,32611,Moderate,Moderate
492,492,51.0288231,-114.1593692,699185.4083,5656870.38,32611,Moderate,Moderate
493,493,51.02824967,-114.1548742,699503.0042,5656818.796,32611,Moderate,Moderate
494,494,51.03646972,-114.1574544,699286.8336,5657725.68,32611,Moderate,Moderate
495,495,51.02478983,-114.1709137,698393.2737,5656390.819,32611,Low,Low
496,496,51.02905634,-114.1683647,698553.7527,5656872.021,32611,Low,Moderate
497,497,51.04053384,-114.1784122,697800.4436,5658121.007,32611,Low,Low
498,498,51.03916557,-114.1817779,697570.3618,5657959.852,32611,Low,Moderate
499,499,51.02669813,-114.1846816,697419.8331,5656565.981,32611,Low,Moderate
500,500,51.00364811,-114.1380961,700785.586,5654129.296,32611,Low,Moderate
501,501,50.99947275,-114.1365011,700915.5078,5653669.448,32611,Moderate,Moderate
502,502,50.99660225,-114.1390202,700751.1833,5653343.454,32611,Moderate,Moderate
503,503,50.99585265,-114.1344655,701073.9696,5653272.537,32611,Moderate,Moderate
504,504,50.99686698,-114.1299785,701384.3722,5653397.559,32611,Low,Moderate
505,505,51.00195642,-114.1300935,701354.2619,5653963.062,32611,Moderate,Moderate
506,506,50.99603925,-114.1231425,701867.549,5653324.244,32611,Low,Moderate
507,507,50.99893925,-114.1216017,701963.0508,5653650.872,32611,Low,Moderate
508,508,50.99250832,-114.127929,701547.0483,5652918.59,32611,Low,Low
509,509,50.99137666,-114.1205179,702071.9498,5652813.076,32611,Moderate,Low
